product,category,unit_cost,supplier,launch_year
سماعة لاسلكية,إلكترونيات,88,مؤسسة التقنية الحديثة,2019
شاحن سريع,إلكترونيات,31,مؤسسة التقنية الحديثة,2020
ساعة ذكية,إلكترونيات,262,مؤسسة التقنية الحديثة,2021
لوحة مفاتيح,إلكترونيات,70,مؤسسة التقنية الحديثة,2022
قميص قطني,ملابس,34,مصنع الأناقة,2020
حذاء رياضي,ملابس,132,مصنع الأناقة,2021
جاكيت,ملابس,96,مصنع الأناقة,2022
مصباح مكتب,المنزل,41,بيت الخبرة,2021
طقم أواني,المنزل,165,بيت الخبرة,2022
وسادة طبية,المنزل,52,بيت الخبرة,2023
قهوة مختصة,أغذية,38,مزارع الواحة,2022
تمر فاخر,أغذية,49,مزارع الواحة,2023
عسل سدر,أغذية,118,مزارع الواحة,2024
رواية,كتب,24,دار المعرفة,2023
كتاب برمجة,كتب,71,دار المعرفة,2024
