order_id,order_date,city,category,product,unit_price,quantity,discount,payment_method,customer_type,rating
ORD-10001,2025-01-01,جدة,ملابس,قميص قطني,79,1,0,بطاقة,عائد,3
ORD-10002,2025-01-01,جدة,إلكترونيات,لوحة مفاتيح,129,1,0,الدفع عند الاستلام,عائد,
ORD-10003,2025-01-02,جدة,إلكترونيات,شاحن سريع,59,4,0.1,تحويل بنكي,جديد,5
ORD-10004,2025-01-02,الرياض,المنزل,مصباح مكتب,89,1,0,تحويل بنكي,عائد,
ORD-10005,2025-01-02,جدة,المنزل,طقم أواني,299,1,0.1,محفظة إلكترونية,جديد,5
ORD-10006,2025-01-02,مكة,ملابس,قميص قطني,79,2,0,الدفع عند الاستلام,جديد,4
ORD-10007,2025-01-02,الرياض,ملابس,جاكيت,199,1,0,بطاقة,عائد,5
ORD-10008,2025-01-03,الدمام,المنزل,مصباح مكتب,89,1,0.1,محفظة إلكترونية,عائد,4
ORD-10009,2025-01-03,المدينة,كتب,كتاب برمجة,120,1,0,بطاقة,عائد,
ORD-10010,2025-01-03,الرياض,إلكترونيات,شاحن سريع,59,1,0,بطاقة,جديد,5
ORD-10011,2025-01-03,الدمام,إلكترونيات,شاحن سريع,59,3,0.1,تحويل بنكي,جديد,4
ORD-10012,2025-01-03,مكة,ملابس,حذاء رياضي,249,1,0.1,بطاقة,عائد,5
ORD-10013,2025-01-03,جدة,إلكترونيات,لوحة مفاتيح,129,1,0.05,بطاقة,جديد,5
ORD-10014,2025-01-04,أبها,أغذية,عسل سدر,180,2,0,بطاقة,عائد,2
ORD-10015,2025-01-04,الدمام,المنزل,وسادة طبية,119,2,0,بطاقة,جديد,
ORD-10016,2025-01-04,الرياض,المنزل,طقم أواني,299,3,0,محفظة إلكترونية,عائد,4
ORD-10017,2025-01-05,الدمام,أغذية,قهوة مختصة,65,3,0.1,بطاقة,عائد,5
ORD-10018,2025-01-05,الدمام,أغذية,عسل سدر,180,2,0,بطاقة,عائد,4
ORD-10019,2025-01-05,الرياض,ملابس,حذاء رياضي,249,1,0.1,محفظة إلكترونية,جديد,2
ORD-10020,2025-01-05,المدينة,أغذية,تمر فاخر,95,3,0.1,بطاقة,عائد,5
ORD-10021,2025-01-05,الرياض,إلكترونيات,سماعة لاسلكية,149,3,0.05,تحويل بنكي,عائد,
ORD-10022,2025-01-06,مكة,المنزل,طقم أواني,299,3,0,بطاقة,جديد,4
ORD-10023,2025-01-06,جدة,المنزل,طقم أواني,299,3,0,الدفع عند الاستلام,جديد,3
ORD-10024,2025-01-06,الدمام,ملابس,حذاء رياضي,249,1,0,بطاقة,جديد,4
ORD-10025,2025-01-06,الدمام,ملابس,جاكيت,199,1,0,بطاقة,عائد,3
ORD-10026,2025-01-06,الرياض,المنزل,طقم أواني,299,1,0,الدفع عند الاستلام,عائد,5
ORD-10027,2025-01-07,الدمام,ملابس,قميص قطني,79,1,0,بطاقة,عائد,5
ORD-10028,2025-01-07,الرياض,أغذية,تمر فاخر,95,3,0,بطاقة,عائد,
ORD-10029,2025-01-07,الرياض,إلكترونيات,ساعة ذكية,399,2,0,بطاقة,عائد,2
ORD-10030,2025-01-07,الدمام,المنزل,وسادة طبية,119,2,0,محفظة إلكترونية,جديد,3
ORD-10031,2025-01-07,جدة,إلكترونيات,ساعة ذكية,399,1,0,بطاقة,جديد,5
ORD-10032,2025-01-08,الرياض,إلكترونيات,شاحن سريع,59,1,0,محفظة إلكترونية,عائد,5
ORD-10033,2025-01-08,الرياض,إلكترونيات,شاحن سريع,59,2,0.1,بطاقة,جديد,5
ORD-10034,2025-01-08,جدة,إلكترونيات,شاحن سريع,59,1,0,الدفع عند الاستلام,عائد,5
ORD-10035,2025-01-08,الرياض,أغذية,تمر فاخر,95,1,0,بطاقة,عائد,3
ORD-10036,2025-01-08,جدة,أغذية,تمر فاخر,95,3,0.05,تحويل بنكي,جديد,5
ORD-10037,2025-01-09,المدينة,إلكترونيات,شاحن سريع,59,1,0,تحويل بنكي,عائد,5
ORD-10038,2025-01-09,مكة,المنزل,مصباح مكتب,89,1,0,بطاقة,جديد,5
ORD-10039,2025-01-09,الرياض,أغذية,قهوة مختصة,65,2,0,محفظة إلكترونية,عائد,4
ORD-10040,2025-01-09,الرياض,أغذية,قهوة مختصة,65,4,0,الدفع عند الاستلام,جديد,2
ORD-10041,2025-01-09,مكة,إلكترونيات,سماعة لاسلكية,149,1,0,بطاقة,جديد,4
ORD-10042,2025-01-10,جدة,ملابس,جاكيت,199,2,0,بطاقة,جديد,4
ORD-10043,2025-01-10,الرياض,كتب,كتاب برمجة,120,2,0,الدفع عند الاستلام,جديد,3
ORD-10044,2025-01-10,الرياض,إلكترونيات,شاحن سريع,59,1,0.2,الدفع عند الاستلام,جديد,
ORD-10045,2025-01-10,جدة,أغذية,تمر فاخر,95,2,0.05,بطاقة,عائد,3
ORD-10046,2025-01-11,جدة,أغذية,عسل سدر,180,1,0,الدفع عند الاستلام,جديد,4
ORD-10047,2025-01-11,الدمام,إلكترونيات,لوحة مفاتيح,129,1,0,محفظة إلكترونية,جديد,2
ORD-10048,2025-01-11,الرياض,كتب,كتاب برمجة,120,2,0,بطاقة,عائد,3
ORD-10049,2025-01-12,المدينة,كتب,كتاب برمجة,120,3,0,الدفع عند الاستلام,عائد,
ORD-10050,2025-01-12,الدمام,إلكترونيات,لوحة مفاتيح,129,1,0.05,بطاقة,عائد,4
ORD-10051,2025-01-12,جدة,إلكترونيات,شاحن سريع,59,1,0,بطاقة,عائد,4
ORD-10052,2025-01-12,جدة,ملابس,جاكيت,199,4,0.1,بطاقة,عائد,4
ORD-10053,2025-01-12,مكة,أغذية,عسل سدر,180,2,0,بطاقة,عائد,
ORD-10054,2025-01-12,المدينة,إلكترونيات,سماعة لاسلكية,149,1,0,بطاقة,عائد,2
ORD-10055,2025-01-13,جدة,ملابس,حذاء رياضي,249,2,0,محفظة إلكترونية,جديد,4
ORD-10056,2025-01-13,الدمام,المنزل,مصباح مكتب,89,3,0,بطاقة,جديد,4
ORD-10057,2025-01-13,جدة,كتب,رواية,45,1,0,محفظة إلكترونية,عائد,5
ORD-10058,2025-01-13,الدمام,إلكترونيات,لوحة مفاتيح,129,2,0,محفظة إلكترونية,عائد,
ORD-10059,2025-01-13,الرياض,المنزل,مصباح مكتب,89,1,0,تحويل بنكي,عائد,
ORD-10060,2025-01-14,الرياض,ملابس,قميص قطني,79,1,0,بطاقة,عائد,4
ORD-10061,2025-01-14,الرياض,إلكترونيات,سماعة لاسلكية,149,2,0,محفظة إلكترونية,جديد,5
ORD-10062,2025-01-14,الرياض,كتب,كتاب برمجة,120,1,0.1,بطاقة,عائد,4
ORD-10063,2025-01-14,جدة,إلكترونيات,لوحة مفاتيح,129,1,0,محفظة إلكترونية,جديد,5
ORD-10064,2025-01-14,الرياض,إلكترونيات,لوحة مفاتيح,129,2,0,بطاقة,عائد,5
ORD-10065,2025-01-15,الرياض,أغذية,تمر فاخر,95,1,0,الدفع عند الاستلام,جديد,4
ORD-10066,2025-01-15,الرياض,ملابس,جاكيت,199,2,0.05,محفظة إلكترونية,عائد,
ORD-10067,2025-01-15,مكة,أغذية,قهوة مختصة,65,1,0.05,بطاقة,عائد,5
ORD-10068,2025-01-15,الرياض,ملابس,قميص قطني,79,4,0,محفظة إلكترونية,عائد,5
ORD-10069,2025-01-15,الرياض,المنزل,مصباح مكتب,89,1,0,بطاقة,عائد,4
ORD-10070,2025-01-16,الرياض,المنزل,طقم أواني,299,1,0,الدفع عند الاستلام,عائد,4
ORD-10071,2025-01-16,الرياض,أغذية,تمر فاخر,95,4,0.1,محفظة إلكترونية,عائد,4
ORD-10072,2025-01-17,الرياض,المنزل,وسادة طبية,119,4,0,بطاقة,جديد,
ORD-10073,2025-01-17,مكة,كتب,كتاب برمجة,120,1,0,محفظة إلكترونية,عائد,5
ORD-10074,2025-01-17,الرياض,أغذية,قهوة مختصة,65,1,0,الدفع عند الاستلام,عائد,2
ORD-10075,2025-01-17,جدة,أغذية,قهوة مختصة,65,3,0,بطاقة,جديد,4
ORD-10076,2025-01-18,الرياض,كتب,كتاب برمجة,120,2,0,بطاقة,جديد,5
ORD-10077,2025-01-18,الدمام,أغذية,تمر فاخر,95,2,0,الدفع عند الاستلام,عائد,
ORD-10078,2025-01-19,الرياض,أغذية,قهوة مختصة,65,1,0,بطاقة,عائد,3
ORD-10079,2025-01-19,جدة,إلكترونيات,ساعة ذكية,399,1,0.05,محفظة إلكترونية,جديد,5
ORD-10080,2025-01-19,الرياض,ملابس,قميص قطني,79,1,0,تحويل بنكي,جديد,5
ORD-10081,2025-01-19,جدة,أغذية,قهوة مختصة,65,1,0,بطاقة,عائد,5
ORD-10082,2025-01-20,الرياض,إلكترونيات,ساعة ذكية,399,1,0,بطاقة,عائد,3
ORD-10083,2025-01-20,جدة,إلكترونيات,سماعة لاسلكية,149,1,0,محفظة إلكترونية,عائد,5
ORD-10084,2025-01-20,مكة,إلكترونيات,ساعة ذكية,399,1,0.05,محفظة إلكترونية,عائد,5
ORD-10085,2025-01-20,المدينة,إلكترونيات,ساعة ذكية,399,1,0,بطاقة,جديد,4
ORD-10086,2025-01-20,الرياض,إلكترونيات,ساعة ذكية,399,2,0,محفظة إلكترونية,عائد,5
ORD-10087,2025-01-21,أبها,إلكترونيات,ساعة ذكية,399,4,0,بطاقة,عائد,4
ORD-10088,2025-01-21,الرياض,إلكترونيات,ساعة ذكية,399,1,0.1,محفظة إلكترونية,عائد,
ORD-10089,2025-01-21,الدمام,المنزل,طقم أواني,299,2,0,محفظة إلكترونية,عائد,4
ORD-10090,2025-01-21,الدمام,أغذية,قهوة مختصة,65,4,0,الدفع عند الاستلام,عائد,4
ORD-10091,2025-01-22,الرياض,أغذية,عسل سدر,180,1,0.05,الدفع عند الاستلام,عائد,5
ORD-10092,2025-01-22,المدينة,أغذية,تمر فاخر,95,2,0.05,الدفع عند الاستلام,جديد,2
ORD-10093,2025-01-22,أبها,إلكترونيات,شاحن سريع,59,2,0.05,الدفع عند الاستلام,جديد,5
ORD-10094,2025-01-23,جدة,إلكترونيات,ساعة ذكية,399,1,0,محفظة إلكترونية,عائد,2
ORD-10095,2025-01-23,الرياض,إلكترونيات,ساعة ذكية,399,1,0,محفظة إلكترونية,جديد,5
ORD-10096,2025-01-23,جدة,ملابس,جاكيت,199,2,0,الدفع عند الاستلام,عائد,5
ORD-10097,2025-01-23,الدمام,ملابس,حذاء رياضي,249,1,0,محفظة إلكترونية,جديد,5
ORD-10098,2025-01-23,الرياض,ملابس,قميص قطني,79,1,0,بطاقة,عائد,1
ORD-10099,2025-01-24,جدة,إلكترونيات,شاحن سريع,59,1,0,محفظة إلكترونية,عائد,4
ORD-10100,2025-01-24,الدمام,المنزل,طقم أواني,299,1,0,بطاقة,جديد,5
ORD-10101,2025-01-24,الدمام,إلكترونيات,سماعة لاسلكية,149,1,0.1,الدفع عند الاستلام,عائد,5
ORD-10102,2025-01-25,الرياض,المنزل,مصباح مكتب,89,1,0.05,بطاقة,عائد,4
ORD-10103,2025-01-25,الرياض,المنزل,وسادة طبية,119,1,0,محفظة إلكترونية,عائد,5
ORD-10104,2025-01-26,أبها,إلكترونيات,سماعة لاسلكية,149,2,0,بطاقة,عائد,5
ORD-10105,2025-01-26,أبها,إلكترونيات,سماعة لاسلكية,149,1,0,بطاقة,عائد,4
ORD-10106,2025-01-26,المدينة,إلكترونيات,ساعة ذكية,399,2,0,تحويل بنكي,جديد,
ORD-10107,2025-01-26,الدمام,المنزل,مصباح مكتب,89,1,0.05,محفظة إلكترونية,جديد,5
ORD-10108,2025-01-27,الدمام,كتب,رواية,45,2,0,بطاقة,عائد,5
ORD-10109,2025-01-27,المدينة,ملابس,حذاء رياضي,249,1,0,محفظة إلكترونية,عائد,3
ORD-10110,2025-01-27,المدينة,إلكترونيات,سماعة لاسلكية,149,2,0,محفظة إلكترونية,عائد,5
ORD-10111,2025-01-27,الدمام,ملابس,جاكيت,199,1,0,بطاقة,عائد,4
