student_id,gender,school_type,city,parent_education,study_hours,attendance,sleep_hours,activities,internet,math,science,arabic,english
S0001,أنثى,حكومية,الدمام,دراسات عليا,6.7,90.0,6.4,لا,نعم,63,65,74,68
S0002,ذكر,أهلية,الرياض,جامعي,8.8,84.9,8.3,نعم,نعم,70,67,62,76
S0003,أنثى,حكومية,الرياض,ثانوي,9.4,100,9.1,لا,نعم,70,76,79,65
S0004,ذكر,أهلية,جدة,ابتدائي,13.7,100,4,نعم,نعم,69,66,79,79
S0005,أنثى,حكومية,الدمام,ابتدائي,20.8,93.3,7.6,نعم,نعم,90,93,96,91
S0006,ذكر,أهلية,أبها,ثانوي,13.6,84.4,5.3,لا,نعم,70,77,78,71
S0007,أنثى,حكومية,الدمام,ثانوي,8.6,83.4,4.3,لا,نعم,59,63,73,52
S0008,ذكر,أهلية,أبها,ثانوي,20.8,82.9,6.1,نعم,نعم,66,78,73,87
S0009,أنثى,أهلية,الرياض,ابتدائي,13.4,98.1,7.9,نعم,نعم,67,65,68,71
S0010,ذكر,حكومية,الرياض,ثانوي,,73.8,6.1,لا,نعم,71,62,62,43
S0011,أنثى,أهلية,الدمام,ثانوي,14.5,88.0,5.3,لا,نعم,64,51,64,77
S0012,أنثى,أهلية,جدة,جامعي,6.2,83.1,5.9,لا,نعم,72,62,67,61
S0013,أنثى,أهلية,جدة,ابتدائي,12.5,86.0,6.0,نعم,نعم,43,48,62,63
S0014,أنثى,حكومية,جدة,دراسات عليا,9.6,80.7,7.8,لا,نعم,63,49,70,55
S0015,أنثى,حكومية,الرياض,جامعي,17.1,77.7,7.8,نعم,نعم,67,75,70,62
S0016,ذكر,حكومية,الدمام,ابتدائي,21.0,91.2,8.7,لا,نعم,83,83,86,82
S0017,أنثى,حكومية,الرياض,جامعي,5.8,91.7,5.9,لا,نعم,44,51,61,50
S0018,أنثى,حكومية,الرياض,جامعي,5.7,86.6,7.0,لا,لا,55,45,58,54
S0019,أنثى,حكومية,الدمام,جامعي,16.0,69.6,5.4,نعم,نعم,54,56,70,77
S0020,ذكر,أهلية,الدمام,ثانوي,19.3,79.6,6.7,نعم,نعم,69,73,79,76
S0021,أنثى,أهلية,جدة,ابتدائي,16.1,95.8,6.7,لا,لا,55,55,61,69
S0022,ذكر,حكومية,الدمام,جامعي,7.0,85.5,5.4,لا,نعم,71,66,69,64
S0023,ذكر,حكومية,الرياض,دراسات عليا,6.0,87.2,7.4,لا,نعم,46,53,71,50
S0024,أنثى,حكومية,الرياض,جامعي,17.1,82.7,6.7,لا,لا,69,70,78,75
S0025,أنثى,حكومية,جدة,ابتدائي,12.2,83.9,6.2,نعم,نعم,52,64,62,58
S0026,ذكر,حكومية,الرياض,جامعي,3.5,77.8,7.2,لا,لا,52,73,69,84
S0027,أنثى,أهلية,جدة,ثانوي,20.2,96.7,5.3,نعم,نعم,85,85,85,75
S0028,ذكر,أهلية,جدة,جامعي,9.7,83.2,7.5,نعم,نعم,59,64,72,75
S0029,ذكر,حكومية,جدة,ابتدائي,16.3,85.3,7.1,لا,نعم,58,61,64,48
S0030,ذكر,حكومية,الدمام,ثانوي,14.0,96.3,9.3,لا,نعم,72,75,79,73
S0031,أنثى,أهلية,الدمام,جامعي,14.1,73.5,5.1,لا,نعم,66,62,73,71
S0032,أنثى,حكومية,جدة,جامعي,9.9,83.9,8.5,نعم,نعم,54,62,75,62
S0033,ذكر,حكومية,الرياض,جامعي,10.7,81.9,6.7,نعم,نعم,61,77,64,61
S0034,ذكر,حكومية,جدة,جامعي,17.0,93.0,7.0,لا,نعم,76,82,79,73
S0035,ذكر,حكومية,الرياض,ثانوي,9.4,99.4,6.2,لا,نعم,63,68,76,75
S0036,ذكر,حكومية,الرياض,دراسات عليا,12.8,86.9,8.0,لا,لا,48,63,69,56
S0037,ذكر,حكومية,جدة,جامعي,7.8,89.5,8.3,نعم,نعم,62,71,70,65
